date, followers, following, tweets

Tue May 30 2017 09:04:53 GMT+0200 (SAST), 3160, 2144, 11938
Tue May 30 2017 09:05:01 GMT+0200 (SAST), 3160, 2144, 11938
Tue May 30 2017 09:05:01 GMT+0200 (SAST), 3160, 2144, 11938
Tue May 30 2017 11:26:39 GMT+0200 (SAST), 3159, 2144, 11939
Tue May 30 2017 12:00:03 GMT+0200 (SAST), 3160, 2144, 11939
Tue May 30 2017 13:54:30 GMT+0200 (SAST), 3161, 2144, 11940
Tue May 30 2017 14:00:01 GMT+0200 (SAST), 3161, 2144, 11940
Tue May 30 2017 15:00:02 GMT+0200 (SAST), 3161, 2144, 11940
Tue May 30 2017 16:00:01 GMT+0200 (SAST), 3161, 2144, 11940
Tue May 30 2017 17:07:01 GMT+0200 (SAST), 3161, 2144, 11940
Tue May 30 2017 18:00:01 GMT+0200 (SAST), 3161, 2145, 11943
Tue May 30 2017 19:36:27 GMT+0200 (SAST), 3161, 2146, 11943
Tue May 30 2017 20:00:03 GMT+0200 (SAST), 3161, 2146, 11943
Wed May 31 2017 08:30:44 GMT+0200 (SAST), 3161, 2146, 11944
Wed May 31 2017 09:00:02 GMT+0200 (SAST), 3161, 2146, 11944
Wed May 31 2017 10:00:03 GMT+0200 (SAST), 3161, 2146, 11944
Wed May 31 2017 11:17:54 GMT+0200 (SAST), 3162, 2146, 11944
Wed May 31 2017 12:15:55 GMT+0200 (SAST), 3162, 2146, 11944
Wed May 31 2017 14:18:13 GMT+0200 (SAST), 3161, 2145, 11944
Wed May 31 2017 15:00:01 GMT+0200 (SAST), 3161, 2145, 11946
Wed May 31 2017 16:00:02 GMT+0200 (SAST), 3161, 2145, 11947
Wed May 31 2017 17:00:02 GMT+0200 (SAST), 3161, 2145, 11947
Wed May 31 2017 18:00:55 GMT+0200 (SAST), 3161, 2145, 11947
Thu Jun 01 2017 08:20:49 GMT+0200 (SAST), 3162, 2150, 11949
Thu Jun 01 2017 09:00:06 GMT+0200 (SAST), 3164, 2150, 11951
Thu Jun 01 2017 10:33:33 GMT+0200 (SAST), 3164, 2151, 11953
Thu Jun 01 2017 11:00:01 GMT+0200 (SAST), 3164, 2151, 11954
Thu Jun 01 2017 12:00:02 GMT+0200 (SAST), 3164, 2151, 11957
Thu Jun 01 2017 13:00:03 GMT+0200 (SAST), 3166, 2151, 11958
Thu Jun 01 2017 14:00:01 GMT+0200 (SAST), 3166, 2151, 11959
Thu Jun 01 2017 15:28:21 GMT+0200 (SAST), 3165, 2151, 11961
Thu Jun 01 2017 16:00:01 GMT+0200 (SAST), 3165, 2151, 11961
Thu Jun 01 2017 17:35:11 GMT+0200 (SAST), 3165, 2151, 11963
Thu Jun 01 2017 18:00:01 GMT+0200 (SAST), 3165, 2151, 11964
Thu Jun 01 2017 19:17:34 GMT+0200 (SAST), 3165, 2151, 11964
Fri Jun 02 2017 07:56:55 GMT+0200 (SAST), 3164, 2151, 11964
Fri Jun 02 2017 08:00:03 GMT+0200 (SAST), 3164, 2151, 11964
Fri Jun 02 2017 09:23:49 GMT+0200 (SAST), 3164, 2151, 11964
Fri Jun 02 2017 10:00:03 GMT+0200 (SAST), 3164, 2151, 11964
Fri Jun 02 2017 11:00:02 GMT+0200 (SAST), 3164, 2151, 11964
Fri Jun 02 2017 12:00:02 GMT+0200 (SAST), 3164, 2151, 11964
Fri Jun 02 2017 13:00:02 GMT+0200 (SAST), 3163, 2151, 11964
Fri Jun 02 2017 14:00:01 GMT+0200 (SAST), 3163, 2151, 11964
Fri Jun 02 2017 15:00:03 GMT+0200 (SAST), 3163, 2151, 11964
Fri Jun 02 2017 16:00:02 GMT+0200 (SAST), 3163, 2151, 11964
Fri Jun 02 2017 17:00:03 GMT+0200 (SAST), 3163, 2151, 11964
Fri Jun 02 2017 18:00:57 GMT+0200 (SAST), 3163, 2151, 11964
Fri Jun 02 2017 19:00:01 GMT+0200 (SAST), 3163, 2151, 11964
Fri Jun 02 2017 20:00:02 GMT+0200 (SAST), 3163, 2151, 11964
Sat Jun 03 2017 10:16:15 GMT+0200 (SAST), 3162, 2151, 11964
Sat Jun 03 2017 11:20:27 GMT+0200 (SAST), 3161, 2151, 11964
Sat Jun 03 2017 12:00:01 GMT+0200 (SAST), 3161, 2151, 11964
Sat Jun 03 2017 15:20:49 GMT+0200 (SAST), 3163, 2152, 11964
Sat Jun 03 2017 16:00:01 GMT+0200 (SAST), 3163, 2152, 11964
Sat Jun 03 2017 17:24:14 GMT+0200 (SAST), 3163, 2152, 11964
Sat Jun 03 2017 18:00:01 GMT+0200 (SAST), 3163, 2152, 11964
Sat Jun 03 2017 22:27:36 GMT+0200 (SAST), 3163, 2152, 11964
Sat Jun 03 2017 23:00:01 GMT+0200 (SAST), 3162, 2152, 11964
Sun Jun 04 2017 12:25:41 GMT+0200 (SAST), 3161, 2152, 11966
